unit_id,retention_fulltime,student_faculty_ratio,applicants,admitted,enrolled_total,enrolled_fulltime,sat_submission_pct,act_submission_pct,religious_affiliation,study_abroad,evening_weekend,undergrad_research,disability_pct,pell_grant_pct,pell_grant_avg,institutional_grant_pct,institutional_grant_avg,loan_pct,loan_avg,any_aid_pct,tuition_fees,coa_instate_oncampus,coa_outofstate_oncampus,control_3,control_4
219347,84.0,12.0,1565,1250.0,476.0,451.0,25.0,79.0,0,1,0,0,10.7,21.0,4899.0,75.0,3860.0,51.0,7879.0,93.0,10500,26700.0,31100.0,0,0
219356,84.0,17.0,7287,7166.0,2441.0,2373.0,2.0,75.0,0,1,0,1,4.31,21.0,4967.0,92.0,3021.0,57.0,7940.0,97.0,9299,25099.0,28609.0,0,0
219383,74.0,18.0,2291,1899.0,290.0,286.0,0.0,0.0,1,1,1,0,5.95,32.0,5417.0,100.0,10554.0,75.0,7266.0,100.0,21750,36535.0,36535.0,0,1
219471,79.0,16.0,5965,5892.0,1418.0,1371.0,4.0,62.0,0,1,1,1,4.4,25.0,5406.0,74.0,3836.0,61.0,7924.0,95.0,9432,25736.0,29246.0,0,0
219602,70.0,14.0,6331,6104.0,1677.0,1521.0,1.0,52.0,0,1,1,0,13.4,57.0,5869.0,80.0,3062.0,43.0,5705.0,99.0,9006,27344.0,33104.0,0,0
219639,53.0,6.0,367,301.0,105.0,93.0,0.0,100.0,1,0,1,0,0.0,61.0,5775.0,39.0,4233.0,61.0,6727.0,100.0,13796,24862.0,24862.0,0,1
219709,87.0,12.0,9165,8732.0,1547.0,1539.0,18.0,37.0,1,1,1,0,12.14,23.0,5679.0,93.0,20480.0,35.0,11851.0,95.0,42540,64800.0,64800.0,0,1
219718,54.0,15.0,1486,895.0,288.0,272.0,11.0,88.0,1,0,1,0,0.0,58.0,5823.0,95.0,10695.0,61.0,5365.0,99.0,18712,32465.0,32465.0,0,1
219806,74.0,12.0,2460,2225.0,373.0,370.0,5.0,70.0,1,1,0,0,8.07,46.0,5521.0,100.0,21114.0,60.0,5788.0,100.0,34700,51964.0,51964.0,0,1
219833,75.0,9.0,1504,1304.0,175.0,175.0,5.0,59.0,1,1,1,1,0.0,50.0,6154.0,99.0,23945.0,33.0,8598.0,100.0,38420,53103.0,53103.0,0,1
219949,59.0,19.0,2495,1680.0,681.0,675.0,0.0,0.0,0,0,1,0,0.0,44.0,5229.0,100.0,17655.0,19.0,6357.0,100.0,27840,46220.0,46220.0,1,0
219976,84.0,13.0,4261,2886.0,719.0,716.0,12.0,50.0,1,1,1,1,7.3,32.0,5866.0,99.0,23433.0,32.0,8193.0,100.0,40572,62296.0,62296.0,0,1
220075,76.0,15.0,10050,8662.0,2138.0,2092.0,7.0,76.0,0,1,1,0,0.0,43.0,5561.0,53.0,4325.0,38.0,7552.0,94.0,10472,30296.0,34346.0,0,0
